"entity_id","attribute_id","type_id"
"17874","96","simple"
"17875","96","simple"
"17877","96","simple"
"17883","96","simple"
"17888","96","simple"
"17891","96","simple"
"17893","96","simple"
"17904","96","simple"
"17911","96","simple"
"17919","96","simple"
"17920","96","simple"
"17921","96","simple"
"17926","96","simple"
"17928","96","simple"
"17932","96","simple"
"17941","96","simple"
"17942","96","simple"
"17944","96","simple"
"17945","96","simple"
"17946","96","simple"
"17947","96","simple"
"17948","96","simple"
"17955","96","simple"
"17956","96","simple"
"17957","96","simple"
"17959","96","simple"
"17961","96","simple"
"17962","96","simple"
"17983","96","simple"
"17984","96","simple"
"17986","96","simple"
"17993","96","simple"
