id,title,description,link,condition,price,availability,image link,gtin,mpn,brand,product type,google product category,shipping
289,Idli rice-Organic Rice - Kg : 5,,https://www.ulamart.com/idli-rice-organic-rice-kg-5,New,INR 443,In Stock,,,,Ulamart,simple,,IN:::0 INR
290,Idli rice-Organic Rice - Kg : 25,,https://www.ulamart.com/idli-rice-organic-rice-kg-25,New,INR 2175,In Stock,,,,Ulamart,simple,,IN:::0 INR
291,Thanga Samba Organic Rice - Kg : 0.5k,,https://www.ulamart.com/thanga-samba-organic-rice-kg-0-5k,New,INR 69,In Stock,,,,Ulamart,simple,,IN:::0 INR
292,Thanga Samba Organic Rice - Kg : 1,,https://www.ulamart.com/thanga-samba-organic-rice-kg-1,New,INR 115,In Stock,,,,Ulamart,simple,,IN:::0 INR
293,Thanga Samba Organic Rice - Kg : 2,,https://www.ulamart.com/thanga-samba-organic-rice-kg-2,New,INR 227,In Stock,,,,Ulamart,simple,,IN:::0 INR
294,Thanga Samba Organic Rice - Kg : 5,,https://www.ulamart.com/thanga-samba-organic-rice-kg-5,New,INR 553,In Stock,,,,Ulamart,simple,,IN:::0 INR
295,Thanga Samba Organic Rice - Kg : 25,,https://www.ulamart.com/thanga-samba-organic-rice-kg-25,New,INR 2675,In Stock,,,,Ulamart,simple,,IN:::0 INR
296,Kichili Samba Broken Rice 0.5kg,,https://www.ulamart.com/kichili-samba-broken-rice-0-5kg,New,INR 63,In Stock,,,,Ulamart,simple,,IN:::0 INR
297,Kichili Samba Broken Rice - Kg : 1,,https://www.ulamart.com/kichili-samba-broken-rice-kg-1,New,INR 105,In Stock,,,,Ulamart,simple,,IN:::0 INR
298,Kichili Samba Broken Rice - Kg : 2,,https://www.ulamart.com/kichili-samba-broken-rice-kg-2,New,INR 210,In Stock,,,,Ulamart,simple,,IN:::0 INR
299,Kichili Samba Broken Rice - Kg : 5,,https://www.ulamart.com/kichili-samba-broken-rice-kg-5,New,INR 525,In Stock,,,,Ulamart,simple,,IN:::0 INR
300,Kichili Samba Broken Rice - Kg : 25,,https://www.ulamart.com/kichili-samba-broken-rice-kg-25,New,INR 2550,In Stock,,,,Ulamart,simple,,IN:::0 INR
301,Arubathaam kuruvai - 60am kuruvai - Organic Unpolished - Kg : 0.5,,https://www.ulamart.com/arubathaam-kuruvai-60am-kuruvai-organic-unpolished-kg-0-5,New,INR 73,In Stock,,,,Ulamart,simple,,IN:::0 INR
302,Arubathaam kuruvai - 60am kuruvai - Organic Unpolished - Kg : 1,,https://www.ulamart.com/arubathaam-kuruvai-60am-kuruvai-organic-unpolished-kg-1,New,INR 108,In Stock,,,,Ulamart,simple,,IN:::0 INR
303,Arubathaam kuruvai - 60am kuruvai - Organic Unpolished - Kg : 2,,https://www.ulamart.com/arubathaam-kuruvai-60am-kuruvai-organic-unpolished-kg-2,New,INR 216,In Stock,,,,Ulamart,simple,,IN:::0 INR
304,Arubathaam kuruvai - 60am kuruvai - Organic Unpolished - Kg : 5,,https://www.ulamart.com/arubathaam-kuruvai-60am-kuruvai-organic-unpolished-kg-5,New,INR 535,In Stock,,,,Ulamart,simple,,IN:::0 INR
305,Arubathaam kuruvai - 60am kuruvai - Organic Unpolished - Kg : 25,,https://www.ulamart.com/arubathaam-kuruvai-60am-kuruvai-organic-unpolished-kg-25,New,INR 2680,In Stock,,,,Ulamart,simple,,IN:::0 INR
311,Kattuyanam Raw rice - Organic Unpolished Rice - Kg : 0.5,,https://www.ulamart.com/kattuyanam-raw-rice-organic-unpolished-rice-kg-0-5,New,INR 90,In Stock,,,,Ulamart,simple,,IN:::0 INR
312,Kattuyanam Raw rice - Organic Unpolished Rice - Kg : 1,,https://www.ulamart.com/kattuyanam-raw-rice-organic-unpolished-rice-kg-1,New,INR 155,In Stock,,,,Ulamart,simple,,IN:::0 INR
313,Kattuyanam Raw rice - Organic Unpolished Rice - Kg : 2,,https://www.ulamart.com/kattuyanam-raw-rice-organic-unpolished-rice-kg-2,New,INR 307,In Stock,,,,Ulamart,simple,,IN:::0 INR
