"value_id","attribute_id","store_id","entity_id","value"
"1435133","97","0","80184","ccm-tacks-5092-hg-jr-nv-12"
"1435145","97","0","80185","jetspeed-ft370-hg-jr-bksf-10"
"1435181","97","0","80188","jetspeed-ft370-hg-jr-nrw-11"
"1435193","97","0","80189","jetspeed-ft370-hg-jr-bksf-11"
"1435217","97","0","80191","jetspeed-ft370-hg-jr-nrw-12"
"1435241","97","0","80193","jetspeed-ft350-hg-sr-nvwh-13"
"1435265","97","0","80195","jetspeed-ft350-hg-sr-bkwh-14"
"1435277","97","0","80196","jetspeed-ft350-hg-sr-nvwh-14"
"1435289","97","0","80197","jetspeed-ft370-hg-sr-nrw-14"
"1435325","97","0","80200","jetspeed-ft1-sg-sr-14"
"1435349","97","0","80202","jetspeed-ft350-hg-sr-nvwh-15"
"1435361","97","0","80203","jetspeed-ft370-hg-sr-bksf-15"
"1435373","97","0","80204","jetspeed-ft1-ep-sr-l"
"1435385","97","0","80205","jetspeed-ft1-sp-sr-l"
"1435397","97","0","80206","jetspeed-ft1-ep-yth-l"
"1435409","97","0","80207","jetspeed-ft1-sp-yth-l"
"1435421","97","0","80208","jetspeed-ft390-ep-sr-m"
"1435433","97","0","80209","jetspeed-ft1-ep-sr-m"
"1435445","97","0","80210","jetspeed-ft1-sp-sr-m"
"1435457","97","0","80211","jetspeed-ft1-ep-yth-m"
"1435469","97","0","80212","jetspeed-ft370-hp-jr-m-rd"
"1435481","97","0","80213","jetspeed-ft370-hp-jr-l-rd"
"1435493","97","0","80214","jetspeed-ft390-ep-sr-s"
"1435721","97","0","80233","ccm-580-wire-sr-sil-sil-s"
"1435733","97","0","80234","ccm-580-wire-sr-sil-sil-m"
"1435961","97","0","80253","ccm-fl-fl60-sr-bk-l"
"1435973","97","0","80254","ccm-fl-fl60-combo-bk-m"
"1435985","97","0","80255","ccm-fl-fl60-combo-bk-l"
"1436153","97","0","80269","ccm-fl-3ds-sr-red-red-l"
"1436165","97","0","80270","ccm-fl-3ds-sr-red-red-m"
"1436177","97","0","80271","ccm-fl-3ds-sr-red-red-s"
"1436201","97","0","80273","ccm-fl-3ds-sr-bk-sf-l"
"1436213","97","0","80274","ccm-fl-3ds-sr-bk-sf-m"
"1436225","97","0","80275","ccm-fl-3ds-sr-nv-sf-m"
"1436237","97","0","80276","ccm-fl-3ds-sr-bk-sf-s"
"1436249","97","0","80277","ccm-fl-3ds-sr-nv-sf-s"
"1436393","97","0","80289","ccm-tacks-310-sr-red-s"
"1436405","97","0","80290","ccm-tacks-310-sr-red-m"
"1436417","97","0","80291","ccm-tacks-310-sr-nv-m"
"1436429","97","0","80292","ccm-tacks-310-sr-red-l"
"1436537","97","0","80301","ccm-tacks-710-sr-red-l"
"1436561","97","0","80303","ccm-tacks-710-sr-red-s"
"1436573","97","0","80304","ccm-tacks-710-combo-sr-bk-m"
"1436585","97","0","80305","ccm-tacks-710-combo-sr-wh-m"
"1436597","97","0","80306","ccm-tacks-710-combo-sr-nv-m"
"1436609","97","0","80307","ccm-tacks-710-combo-sr-bk-s"
"1436621","97","0","80308","ccm-tacks-710-combo-sr-bk-l"
"1436633","97","0","80309","ccm-tacks-710-combo-sr-wh-l"
"1436645","97","0","80310","ccm-tacks-710-combo-sr-nv-l"
"1437053","97","0","80344","ccm-team-sport-bag-24-nv"
"1437125","97","0","80350","super-tacks-as1-jr-4-5-d"
"1437137","97","0","80351","super-tacks-as1-jr-5-d"
"1437149","97","0","80352","super-tacks-as1-jr-5-5-d"
"1437161","97","0","80353","super-tacks-as1-jr-5-ee"
"1437173","97","0","80354","super-tacks-as1-jr-5-5-ee"
"1437185","97","0","80355","tacks-9090-sr-8-5-d"
"1437197","97","0","80356","tacks-9090-sr-9-d"
"1437209","97","0","80357","tacks-9090-sr-9-5-d"
"1437221","97","0","80358","super-tacks-as1-sr-6-d"
"1437233","97","0","80359","super-tacks-as1-sr-6-5-d"
"1437245","97","0","80360","super-tacks-as1-sr-7-d"
"1437257","97","0","80361","super-tacks-as1-sr-7-5-d"
"1437269","97","0","80362","super-tacks-as1-sr-8-d"
"1437281","97","0","80363","super-tacks-as1-sr-8-5-d"
"1437305","97","0","80365","super-tacks-as1-sr-9-5-d"
"1437317","97","0","80366","super-tacks-as1-sr-10-d"
"1437329","97","0","80367","super-tacks-as1-sr-10-5-d"
"1437341","97","0","80368","super-tacks-as1-sr-11-d"
"1437353","97","0","80369","tacks-9090-sr-6-ee"
"1437365","97","0","80370","tacks-9090-sr-6-5-ee"
"1437377","97","0","80371","super-tacks-as1-sr-7-ee"
"1437389","97","0","80372","super-tacks-as1-sr-8-ee"
"1437401","97","0","80373","super-tacks-as1-sr-8-5-ee"
"1437413","97","0","80374","super-tacks-as1-sr-9-ee"
"1437461","97","0","80378","ccm-fl3ds-combo-jr-os-bk"
"1437485","97","0","80380","ccm-fl3ds-combo-jr-os-nv"
"1437497","97","0","80381","ccm-fl90-combo-sr-m-wh"
"1437521","97","0","80383","ccm-fl90-combo-sr-m-nv"
"1437533","97","0","80384","ccm-fl90-combo-sr-s-bk"
"1437545","97","0","80385","ccm-fl90-combo-sr-s-red"
"1437557","97","0","80386","ccm-fl90-combo-sr-s-nv"
"1437809","97","0","80407","tacks-classic-pro-jr-1-d"
"1437821","97","0","80408","tacks-classic-pro-jr-1-5-d"
"1437833","97","0","80409","tacks-classic-pro-jr-2-d"
"1437845","97","0","80410","tacks-classic-pro-jr-4-ee"
"1437857","97","0","80411","tacks-classic-pro-jr-4-5-ee"
"1437869","97","0","80412","tacks-classic-pro-jr-5-ee"
"1437881","97","0","80413","tacks-classic-pro-jr-5-5-ee"
"1437893","97","0","80414","tacks-classic-sr-8-ee"
"1437905","97","0","80415","tacks-classic-sr-8-5-ee"
"1437917","97","0","80416","tacks-classic-sr-9-ee"
"1437929","97","0","80417","tacks-classic-sr-9-5-ee"
"1437965","97","0","80420","tacks-classic-pro-sr-6-d"
"1437977","97","0","80421","tacks-classic-pro-sr-7-d"
"1437989","97","0","80422","tacks-classic-pro-sr-7-5-d"
"1438001","97","0","80423","tacks-classic-pro-sr-8-d"
"1438013","97","0","80424","tacks-classic-pro-sr-8-5-d"
"1438025","97","0","80425","tacks-classic-pro-sr-9-d"
"1438037","97","0","80426","tacks-classic-pro-sr-9-5-d"
"1438049","97","0","80427","tacks-classic-pro-sr-10-d"
"1438061","97","0","80428","tacks-classic-pro-sr-10-5-d"
"1438073","97","0","80429","tacks-classic-pro-sr-11-d"
"1438085","97","0","80430","tacks-classic-sr-6-d"
"1438097","97","0","80431","tacks-classic-sr-6-5-d"
"1438145","97","0","80435","tacks-classic-sr-9-5-d"
"1438169","97","0","80437","tacks-classic-sr-10-5-d"
"1438181","97","0","80438","tacks-classic-sr-11-d"
"1438193","97","0","80439","tacks-classic-sr-12-d"
"1438205","97","0","80440","tacks-classic-pro-sr-7-5-ee"
"1438217","97","0","80441","tacks-classic-pro-sr-8-ee"
"1438229","97","0","80442","tacks-classic-pro-sr-8-5-ee"
"1438241","97","0","80443","tacks-classic-pro-sr-10-ee"
"1438253","97","0","80444","tacks-9090-jr-5-d"
"1438265","97","0","80445","tacks-9090-jr-5-5-d"
"1438277","97","0","80446","tacks-9090-jr-5-5-ee"
"1438337","97","0","80451","jetspeed-xtra-ep-l"
"1438349","97","0","80452","jetspeed-xtra-pro-ep-l"
"1438361","97","0","80453","jetspeed-xtra-ep-m"
"1438373","97","0","80454","jetspeed-xtra-pro-ep-m"
"1438385","97","0","80455","jetspeed-xtra-ep-s"
"1438517","97","0","80466","jetspeed-xtra-pro-hg-brw-15"
"1438613","97","0","80474","jetspeed-xtra-sp-l"
"1438637","97","0","80476","jetspeed-xtra-sp-m"
"1438661","97","0","80478","jetspeed-xtra-sp-s"
"1438697","97","0","80481","jetspeed-xtra-pro-sp-l"
"1438721","97","0","80483","jetspeed-xtra-pro-sp-m"
"1438745","97","0","80485","jetspeed-xtra-pro-sp-s"
"1438757","97","0","80486","jetspeed-xtra-pro-sp-xl"
"1438841","97","0","80493","ccm-tacks-710-sr-bk-xl"
"1438901","97","0","80498","ccm-suspenders-jr"
"1439009","97","0","80507","jetspeed-xtra-pro-hg-nvsf-13"
"1439033","97","0","80509","jetspeed-xtra-pro-hg-bk-10"
"1439045","97","0","80510","jetspeed-xtra-pro-hg-nvsf-10"
"1439057","97","0","80511","jetspeed-xtra-pro-hg-bk-11"
"1439873","97","0","80579","jetspeed-ft1-sg-sr-15"
"1439885","97","0","80580","jetspeed-ft350-sg-sr-16"
"1439897","97","0","80581","jetspeed-ft390-ep-sr-l"
"1440095","97","0","80597","tacks-classic-pro-jr-2-5-d"
"1440107","97","0","80598","tacks-classic-pro-jr-3-d"
"1440119","97","0","80599","tacks-classic-pro-jr-3-5-d"
"1440131","97","0","80600","tacks-classic-pro-jr-4-d"
"1440143","97","0","80601","tacks-classic-pro-jr-4-5-d"
"1440155","97","0","80602","jetspeed-xtra-pro-hg-bk-12"
"1440215","97","0","80607","tacks-classic-sr-8-5-d"
"1440227","97","0","80608","tacks-classic-sr-9-d"
"1440239","97","0","80609","tacks-classic-pro-jr-5-d"
"1440251","97","0","80610","tacks-classic-pro-jr-5-5-d"
"1442395","97","0","80775","ba5200-jersey"
"1442406","97","0","80776","ba5200-jersey"
"1445060","97","0","80993","tuuk-ii-ls-holder-wht-sr"
"1445082","97","0","80995","tuuk-ii-ls-holder-wht-sr"
"1445093","97","0","80996","tuuk-ii-ls-holder-wht-sr"
"1445115","97","0","80998","tuuk-ii-ls-holder-wht-sr"
"1445126","97","0","80999","tuuk-ii-ls-holder-wht-sr"
"1445137","97","0","81000","tuuk-ii-ls-holder-wht-sr"
"1449136","97","0","81319","jetspeed-stick-sr"
"1449180","97","0","81323","jetspeed-stick-sr"
"1449202","97","0","81325","jetspeed-stick-sr"
"1449213","97","0","81326","jetspeed-stick-sr"
"1449224","97","0","81327","jetspeed-stick-sr"
"1449235","97","0","81328","jetspeed-stick-sr"
"1449246","97","0","81329","jetspeed-stick-sr"
"1449257","97","0","81330","jetspeed-stick-sr"
"1449279","97","0","81332","jetspeed-stick-sr"
"1449290","97","0","81333","jetspeed-stick-sr"
"1449301","97","0","81334","jetspeed-stick-sr"
"1449312","97","0","81335","jetspeed-stick-sr"
"1449323","97","0","81336","jetspeed-stick-sr"
"1449334","97","0","81337","jetspeed-stick-sr"
"1449367","97","0","81340","jetspeed-stick-sr"
"1449378","97","0","81341","jetspeed-stick-sr"
"1449433","97","0","81346","jetspeed-stick-sr"
"1449444","97","0","81347","jetspeed-stick-sr"
"1449455","97","0","81348","jetspeed-stick-sr"
"1449478","97","0","81350","jetspeed-stick-int"
"1449522","97","0","81354","jetspeed-stick-int"
"1449533","97","0","81355","jetspeed-stick-int"
"1449544","97","0","81356","jetspeed-stick-int"
"1449566","97","0","81358","jetspeed-stick-int"
"1449577","97","0","81359","jetspeed-stick-int"
"1449588","97","0","81360","jetspeed-stick-int"
"1449599","97","0","81361","jetspeed-stick-int"
"1449610","97","0","81362","jetspeed-stick-int"
"1449621","97","0","81363","jetspeed-stick-int"
"1501304","97","0","84984","rawlings-fp-practice-ball-12"
"1501404","97","0","84993","new-item"
"1515555","97","0","85743","bauer-flex-pant"
"1519424","97","0","86042","hc-72-heavy-duty-shoot-target"
"1593603","97","0","91956","street-yth"
"1593614","97","0","91957","street-yth"
"1603246","97","0","92740","ghost-ne-3930-flex-hat"
"1603257","97","0","92741","ghost-ne-3930-flex-hat"
"1603268","97","0","92742","ghost-ne-3930-flex-hat"
"1603279","97","0","92743","ghost-ne-3930-flex-hat"
"1603290","97","0","92744","ghost-ne-3930-flex-hat"
"1603302","97","0","92745","ghost-ne-3930-flex-hat"
"1603313","97","0","92746","ghost-ne-3930-flex-hat"
"1603324","97","0","92747","ghost-ne-3930-flex-hat"
"1603335","97","0","92748","ghost-ne-3930-flex-hat"
"1603433","97","0","92755","ghost-ne940-adj-hat"
"1603444","97","0","92756","ghost-ne940-adj-hat"
"1606776","97","0","93052","ghost-atc-8000-yth-hsf"
"1606820","97","0","93056","ghost-atc-8000-yth-hsf"
"1606921","97","0","93065","ghost-atc8000-wmns-v"
"1606954","97","0","93068","ghost-atc8000-wmns-v"
"1607164","97","0","93087","ghost-atc8000-ad-hsc"
"1607242","97","0","93094","ghost-atc-8000-ad-hsf"
"1607297","97","0","93099","ghost-atc-8000-ad-hsf"
"1607385","97","0","93107","ghost-atc-8000-ad-hsf"
"1607429","97","0","93111","ghost-atc-8000-ad-hsf"
"1608153","97","0","93170","louisville-prime-brch-aj10-nw"
"1619818","97","0","93892","worth-est-12-5-hybrid"
"1619829","97","0","93893","worth-est-12-5-hybrid"
"1651585","97","0","96040","card-for-coaches"
"1651625","97","0","96044","card-for-coaches"
"1651645","97","0","96046","card-for-coaches"
"1660642","97","0","96788","card-for-coaches"
"1680779","97","0","98487","pwhl-rangers-j5591-prem-pnt"
"1680801","97","0","98489","pwhl-rangers-j5591-prem-pnt"
"1680812","97","0","98490","pwhl-rangers-j5591-prem-pnt"
"1682245","97","0","98606","ravens-ccm-6568-hoody"
"1682289","97","0","98610","ravens-ccm-6568-hoody"
"1682300","97","0","98611","ravens-ccm-6568-hoody"
"1722856","97","0","101688","ccm-classic-tacks-hg-jr"
"1723105","97","0","101710","ccm-4-roll-hg4pro-hg-sr"
"1723267","97","0","101724","ccm-classic-tacks-hg-sr"
"1723278","97","0","101725","ccm-classic-tacks-hg-sr"
"1723344","97","0","101731","ccm-classic-tacks-hg-sr"
"1723377","97","0","101734","ccm-classic-tacks-hg-sr"
"1723535","97","0","101744","ccm-premier-2-9-gp-int"
"1723548","97","0","101745","ccm-premier-2-9-gp-int"
"1723564","97","0","101746","ccm-premier-2-9-gp-int"
"1723575","97","0","101747","ccm-premier-2-9-gp-int"
"1723586","97","0","101748","ccm-premier-2-9-gp-int"
"1723598","97","0","101749","ccm-premier-2-9-gp-int"
"1723629","97","0","101751","ccm-premier-2-9-int-trap"
"1723641","97","0","101752","ccm-premier-2-9-int-trap"
"1723652","97","0","101753","ccm-premier-2-9-int-trap"
"1723720","97","0","101757","ribcor-trigger3d-pmt-int"
"1723731","97","0","101758","ribcor-trigger3d-pmt-int"
"1723742","97","0","101759","ribcor-trigger3d-pmt-int"
"1723753","97","0","101760","ribcor-trigger3d-pmt-int"
"1723764","97","0","101761","ribcor-trigger3d-pmt-int"
"1723775","97","0","101762","ribcor-trigger3d-pmt-int"
"1723786","97","0","101763","ribcor-trigger3d-pmt-int"
"1723797","97","0","101764","ribcor-trigger3d-pmt-int"
"1723855","97","0","101769","ribcor-trigger3d-pmt-int"
"1723866","97","0","101770","ribcor-trigger3d-pmt-int"
"1723877","97","0","101771","ribcor-trigger3d-pmt-int"
"1723921","97","0","101775","ribcor-trigger3d-pmt-int"
"1723932","97","0","101776","ribcor-trigger3d-pmt-int"
"1723998","97","0","101782","ribcor-trigger3d-pmt-int"
"1724009","97","0","101783","ribcor-trigger3d-pmt-int"
"1724068","97","0","101788","supertack-as1-sr"
"1724079","97","0","101789","supertack-as1-sr"
"1724090","97","0","101790","supertack-as1-sr"
