"attribute_id","entity_id","value","sku"
"97","131520","s19-sup-s29-pant-sr","1054978"
"97","131340","s19-sup-2s-pro-girdle-shell-jr","1054981"
"97","131536","s19-sup-2s-pant-jr","1054982"
"97","131559","s19-sup-s27-pant-sr","1054984"
"97","131362","s19-sup-pant-shell-sr","1054985"
"97","131374","s19-sup-pant-shell-jr","1054986"
"97","130870","s19-vap-2x-team-gr-stk-jr","1055009"
"97","130863","s19-vap-2x-team-gr-stk-int","1055015"
"97","130881","s19-vap-2x-team-gr-stk-sr","1055018"
"97","131198","s19-vap-flylite-gr-stk-yth","1055028"
"97","130956","s19-vap-flylite-gr-stk-jr","1055029"
"97","131050","s19-vap-2x-pro-gr-stk-sr","1055030"
"97","131057","s19-vap-flylite-gr-stk-sr","1055035"
"97","130930","s19-vap-flylite-gr-stk-int","1055037"
"97","128555","s19-x2-9-goal-pant-sr","1055144"
"97","128534","s19-2xpro-goal-pant-sr","1055145"
"97","153991","s19-x2-9-goal-pant-jr","1055147"
"97","128542","s19-x2-9-goal-pant-int","1055148"
"97","131291","bauer-re-akt-150-helmet-combo","1055149"
"97","131287","bauer-re-akt-150-helmet","1055151"
"97","152479","bth19-vap-xltx-pro-skt-yth","1055183"
"97","131169","bth19-vapor-xltx-pro-skt-sr","1055184"
"97","131217","bth19-vapor-xltx-pro-skt-jr","1055185"
"97","131234","bth19-vapxltx-pro-skt-jr","1055189"
"97","131257","bth19-vapxltx-pro-skt-sr","1055190"
"97","131659","s19-bauer-pro-ls-top-yth","1055204"
"97","131063","s19-vapor-x2-7-gr-stk-sr","1055241"
"97","130941","s19-vapor-x2-7-gr-stk-int","1055243"
"97","130990","s19-vapor-x2-7-gr-stk-jr","1055247"
"97","130999","s19-vap-prodigy-gr-jr","1055248"
"97","131078","s19-vap-prodigy-gr-yth","1055250"
"97","131766","s19-bauer-core-carry-bag-yth","1055272"
"97","128448","s19-2xpro-c-a-sr","1055464"
"97","131027","s19-nexus-league-gr-stk-sr","1055471"
"97","130917","s19-nexus-league-gr-stk-int","1055475"
"97","131351","s19-sup-ignite-pro-ep-jr","1055509"
"97","131355","s19-sup-ignite-pro-ep-sr","1055510"
"97","131462","s19-sup-ign-pro-shld-pad-jr","1055531"
"97","131467","s19-sup-ign-pro-shld-pad-sr","1055532"
"97","131505","s19-supr-ign-pro-sg-jr","1055533"
"97","131500","s19-supr-ign-pro-sg-sr","1055534"
"97","131075","s19-vltx-pro-gr-sr","1056117"
"97","130946","s19-vltx-pro-gr-int","1056122"
"97","131004","s19-vltx-pro-gr-jr","1056123"
"97","131737","s19-sup-ign-pro-glove-jr","1056131"
"97","131579","s19-sup-ign-pro-pant-sr","1056132"
"97","151835","s19-sup-ign-pro-glove-sr","1056139"
"97","151879","bauer-s19-pro-tall-sock","1056155"
"97","142321","bauer-cut-resist-sock","1056157"
"97","151872","bauer-ess-tall-sock","1056161"
"97","130951","s19-supreme-adv-gr-stk-jr","1056174"
"97","131777","s19-sup-s29-girdle-sr","1056180"
"97","156443","bauer-sup-3s-skt-yth","1056408"
"97","145203","s20-supreme-3s-catch-sr","1056415"
"97","145126","s20-960-goal-mask-sr","1056416"
"97","146551","bauer-sup20-3spro-ska-yth","1056440"
"97","146578","bauer-sup20-3s-ska-jr","1056444"
"97","146432","bauer-sup20-s37-ska-sr","1056445"
"97","146604","bauer-sup20-ign-pro-ska-jr","1056501"
"97","146357","bauer-sup20-ign-pro-ska-int","1056502"
"97","146524","bauer-sup20-ign-pro-ska-sr","1056503"
"97","146561","bauer-sup20-ign-pro-ska-yth","1056504"
"97","146591","bauer-sup20-ign-pro-ska-jr","1056505"
"97","146932","s20-vapor-2x-pro-glove","1056516"
"97","146921","s20-vapor-2x-glove","1056521"
"97","146909","s20-vapor-x2-9-gloves","1056523"
"97","147010","s20-vapor-2x-pro-glove","1056526"
"97","147015","s20-vapor-2x-glove","1056528"
"97","146808","s20-supreme-ultrasonic-jr","1056538"
"97","146803","s20-supreme-3s-grip-jr","1056540"
"97","146728","s20-supreme-s37-grip-sr","1056551"
"97","146863","s20-supreme-s37-grip-int","1056553"
"97","146798","s20-supreme-s37-grip-jr","1056554"
"97","146851","bauer-vap-x2-9-pants-sr","1056567"
"97","146872","bauer-vap-x2-9-pants-jr","1056568"
"97","146986","bauer-vap-2x-sg-jr","1056572"
"97","146885","bauer-vap-2x-pro-pants-sr","1056582"
"97","146889","bauer-vapor-x-wmn-pants","1056597"
"97","147049","bauer-vap-2x-pro-sp-jr","1056601"
"97","147047","bauer-vap-2x-sp-jr","1056603"
"97","147042","bauer-vap-x-wmn-sp","1056612"
"97","146856","s20-supreme-3s-grip-int","1056633"
"97","146838","s20-supreme-ultrasonic-int","1056642"
"97","146762","s20-supreme-3s-pro-grip-sr","1056646"
"97","146825","s20-supreme-3s-pro-grip-int","1056650"
"97","145129","s20-gsx-prodigy-gp-yth","1056708"
"97","145296","s20-bauer-gsx-pad-jr","1056767"
"97","145304","s20-bauer-gsx-pad-sr","1056769"
"97","145309","s20-bauer-gsx-pad-sr","1056770"
"97","145307","s20-gsx-prodigy-pad-yth","1056776"
"97","145318","s20-sup-3s-pad-sr","1056851"
"97","145269","s20-supreme-3s-pad-int","1056853"
"97","147126","bauer-3spro-gs-p31int","1056861"
"97","147140","bauer-ultrasonic-gs-p31-sr","1056876"
"97","145115","s20-ultrasonic-gska-sr","1056881"
"97","145103","s20-sup-3spro-gska-sr","1056896"
"97","145078","s20-sup-3s-gska-sr","1056901"
"97","145234","s20-supreme-3s-catch-int","1056911"
"97","145207","s20-sup-3s-blocker-sr","1056915"
"97","145241","s20-sup-3s-blocker-int","1056919"
"97","145185","s20-ultrasonic-c-a-sr","1056924"
"97","145180","s20-bauer-elite-c-a-sr","1056928"
"97","145170","s20-bauer-elite-c-a-int","1056930"
"97","154375","bauer-gsx-prod-yth-c-a","1056932"
"97","152305","bauer-ne-team-toque","1057033"
"97","152302","bauer-9forty-team-cap-yth","1057035"
"97","152839","bauer-hal-toe-system-pair","1057047"
"97","146713","s20-custom-team-pro-carry","1057068"
"97","146711","s20-custom-team-pro-carry","1057078"
"97","145284","s20-bauer-gsx-pad-int","1057116"
"97","146540","bauer-sup20-ign-pro-ska-sr","1057165"
"97","146452","bauer-sup20-3spro-ska-sr","1057169"
"97","146472","bauer-sup20-3s-ska-sr","1057172"
"97","146496","bauer-sup20-ultrasonic-ska-sr","1057174"
"97","145118","s20-930-goal-mask-sr","1057236"
"97","146892","bauer-vap-2x-pants-jr","1057373"
"97","140387","bauer-apex-lite-mg","1057414"
"97","146506","bauer-sup20-s35-ska-sr","1057752"
"97","147037","bauer-s20-vap-x-ltx-pro-sp-jr","1057780"
"97","147033","bauer-s20-vap-x-ltx-pro-sp-sr","1057781"
"97","146897","bauer-20-vap-x-ltx-pro-pnt-jr","1057786"
"97","146877","bauer-20-vap-x-ltx-pro-pnt-sr","1057787"
"97","147028","s20-vapor-x-ltx-pro-glove","1057789"
"97","146815","s20-s-ignite-pro-grip-int","1057825"
"97","145199","s20-ultrasonic-blocker-sr","1057904"
"97","152455","s21-bauer-vapor-x-r-sp-jr","1058092"
"97","152451","s21-bauer-vapor-x-r-sp-sr","1058093"
"97","156835","bauer-hyperlite-helmet","1058201"
"97","154087","s21-bauer-elite-wheeled-sr","1058237"
"97","154876","bauer-supreme-3s-pro-junior-shoulder-pads","1058496"
"97","154870","bauer-supreme-3s-junior-shoulder-pads","1058497"
"97","154832","bauer-sup-ultrasonic-sg-yth","1058520"
"97","156193","bauer-vap-hyperlite-stk-yth","1058558"
