"attribute_id","entity_id","sku","value"
"97","90541","1053141","vapor-x800-lite-hg-jr"
"97","80660","1054137","s18-vap-xltx-pro-ep-jr"
"97","80745","1054152","s18-vap-xltx-pro-sp-jr"
"97","128430","1054803","s19-x2-5-goal-stk-p31"
"97","128432","1054807","s19-x2-5-goal-stk-p31"
"97","131520","1054978","s19-sup-s29-pant-sr"
"97","146604","1056501","bauer-sup20-ign-pro-ska-jr"
"97","147010","1056526","s20-vapor-2x-pro-glove"
"97","147015","1056528","s20-vapor-2x-glove"
"97","145309","1056770","s20-bauer-gsx-pad-sr"
"97","146713","1057068","s20-custom-team-pro-carry"
"97","146540","1057165","bauer-sup20-ign-pro-ska-sr"
"97","153537","16493","bauer-prodigy-combo"
"97","61564","18460","warrior-qr-pro-sr-gr"
"97","62107","18687","bauer-supreme-1s-jr-gr"
"97","62690","18718","bauer-s-ltx-pro-jr-gr"
"97","141492","19137","ccm-eflex-e1-9-gp"
"97","129478","2026881","ccm-tac-9040-sr-hg"
"97","129480","2026882","ccm-tac-9040-sr-hg"
"97","129483","2026883","ccm-tac-9040-sr-hg"
"97","131845","2026987","ap7010-sr-ccm-ap7010-sr-acc"
"97","145618","2030028","ccm-4-5-efx-pri-gs-jr"
"97","148423","20982","tigers-w-adt-ls"
"97","130747","2206223","ccm-rib7-stick-jr"
"97","150718","22264","warrior-diablo-sr-stick"
"97","152266","2343882","ccm-as3-tac-skates-sr"
"97","147418","2471213","ccmft3pro-js-sticks-int"
"97","148472","28381","bauer-nexus-1000"
"97","148474","28385","bauer-nexus-1000-gr"
"97","153928","28451","bauer-totalone-nxg-jr"
"97","148355","28457","bauer-sup-one-8-gr"
"97","148476","28687","bauer-nexus-1000-gr-jr"
"97","147191","2890934","ccm-clse-tac-skates-sr"
"97","150564","312469","mizuno-prospect-finch-glove"
"97","16010","36924","softec-tri-grip"
"97","153965","62934","mondor-3301-footed-tight"
"97","23884","64454","mondor-3818-legging"
"97","29405","74439","bauer-x6-0-jr-gr"
"97","141613","86227","ghost-coaches-shirt"
"97","144332","A130732","easton-pro-coll-hyb-glv"
"97","125382","A162308","easton-training-stick"
"97","153602","A165396","m5-qwik-fit-catchers-set"
"97","152616","A165413","easton-gametime-cp"
"97","125246","A165421","easton-gametime-lg"
"97","125300","A165425","speed-elite-x-catchers-set"
"97","125304","A165426","speed-elite-x-catchers-set"
"97","151755","A165428","easton-gametime-catcher-set"
"97","125200","A165429","easton-gametime-catcher-set"
"97","144083","CSV2A","rawlings-velo-2-0-set"
"97","102845","EP7092JR","ccm-tacks-7092-ep-jr"
"97","125874","FP9V10","rawlings-velo-comp"
"97","103960","HGXPROJ","jetspeed-xtra-pro-hg"
"97","103515","HPXTRP","jetspeed-xtra-pro-hp"
"97","156045","HSE5I","ccm-e-5-9-gs-int"
"97","156043","HSE5PS","ccm-e5-pro-gs-sr"
"97","102246","HSRC65IN","ribcor-65k-int"
"97","102629","HSYSEC30","ribcor-yth-comp"
"97","102634","HSYSEC40","ribcor-yth-comp"
"97","102141","HSYTK320","tacks-yth"
"97","124481","JRJ5590","ccm-premium-skate-jacket-jr"
"97","153906","LSWTLFPXN19A8","louisville-xeno-x19"
"97","125710","LSWTLFPXN19A9","louisville-xeno-x19"
"97","152949","R13","rawlings-r9206-9bsg"
"97","102536","SKCLAP","tacks-classic-pro-sr"
"97","102399","SKCLAPJ","tacks-classic-pro-jr"
"97","103596","SP350","jetspeed-ft350-sp-jr"
"97","124471","SRJ6666","ccm-midweight-jacket-sr"
"97","152734","VCSY","rawlings-velo-catch-set"
"97","123160","YLNCHSRP","rawlings-launch-pip-kn-pnt-yth"
"97","151737","YRTT","rawlings-men-tech-t-shirt"
