"attribute_id","option_id","store_id","value"
"171","2269","0","311899"
"171","2270","0","25*115mm"
"171","2271","0","YEL- BLK"
"171","2272","0","400ml"
"171","2273","0","SENIOR"
"171","2274","0","3+"
"171","2275","0","t3"
"171","2276","0","t1"
"171","2277","0","t4"
"171","2278","0","36.5"
"171","2279","0","29-34"
"171","2280","0","HIGHBLUE"
"171","2281","0","lg"
"171","2282","0","19"""
"171","2283","0","36"""
"171","2284","0","23"""
"171","2285","0","39"""
"171","2286","0","35-40"
"171","2287","0","NK"
"171","2288","0","NT"
"171","2289","0","11speed"
"171","2290","0","8speed"
"171","2291","0","set"
"171","2292","0","40-41"
"171","2293","0","3/16in"
"171","2294","0","LIMEPINK"
"171","2295","0","320mm"
"171","2296","0","8.75"
"171","2297","0","245mm"
"171","2298","0","br-3500"
"171","2299","0","br-5700-"
"171","2300","0","br-m675"
"171","2301","0","1.6mm"
"171","2302","0","MTB 26"""
"171","2303","0","700 ml"
"171","2304","0","73 * 113"
"171","2305","0","68 * 113"
"171","2306","0","e type"
"171","2307","0","10sp"
"171","2308","0","100gram"
"171","2309","0","tc-fc35"
"171","2310","0","53t"
"171","2311","0","1 - 1/8"""
"171","2312","0","BLK-WH"
"171","2313","0","WH-BLACK"
"171","2314","0","slimmer"
"171","2315","0","2.15"
"171","2316","0","ELE LIME"
"171","2317","0","ALUMINUM"
"171","2318","0","FLAT BLK"
"171","2319","0","kit"
"171","2320","0","225"
"171","2321","0","35x20mm"
"171","2322","0","GY- BLU"
"171","2323","0","BK- GRY"
"171","2324","0","l / xl"
"171","2325","0","3/8"" DRO"
"171","2326","0","3/8""X36H"
"171","2327","0","3/8"""
"171","2328","0","mid bb"
"171","2329","0","9.5,42.5"
"171","2330","0","slim"
"171","2331","0","26 x 3.8"
"171","2332","0","68mm-113"
"171","2333","0","73mm-118"
"171","2334","0","113/68mm"
"171","2335","0","117.5/68"
"171","2336","0","122.5/68"
"171","2337","0","B"
"171","2338","0","1000 mm"
"171","2339","0","1000"
"171","2340","0","53 t"
"171","2341","0","11 spd"
"171","2342","0","3x8 spd"
"171","2343","0","5mm*1m"
"171","2344","0","4mm*1m"
"171","2345","0","75 cu"
"171","2347","0","sm/md"
"171","2348","0","53-57"
"171","2349","0","57-59"
"171","2350","0","26 x 2.4"
"171","2351","0","700ML"
"171","2352","0","BLK GRN"
"171","2353","0","x / xxx"
"171","2354","0","fr-8c"
"171","2355","0","19"
"171","2356","0","j127211"
"171","2357","0","90/130mm"
"171","2358","0","rx"
"171","2359","0","500 ml"
"171","2360","0","22mm-50m"
"171","2361","0","i"
"171","2362","0","atb/tan"
"171","2363","0","tl-1c"
"171","2364","0","36h,10mm"
"171","2365","0","275/35mm"
"171","2366","0","36.4mm"
"171","2367","0","PUR"
"171","2368","0","9""X1Y"
"171","2369","0","33""X9"""
"171","2370","0","13-34t"
"171","2371","0","D.PINK"
"171","2372","0","CELESTE"
"171","2373","0","BLU-BLU"
"171","2374","0","2*8 oz-s"
"171","2375","0","2*8 oz-m"
"171","2376","0","2*8 oz-l"
"171","2377","0","2*8oz-s"
"171","2378","0","2*8oz-m"
"171","2379","0","2*8oz-l"
"171","2380","0","2*8oz-xl"
"171","2381","0","9.0"""
"171","2382","0","slvr- bl"
"171","2383","0","1.8 mtr"
"171","2384","0","34mm"
"171","2385","0","youth"
"171","2386","0","PURPL"
"171","2387","0","4.33"
"171","2388","0","xxx"
"171","2389","0","45.5"
"171","2390","0","400mm"
"171","2391","0","300mm"
"171","2392","0","135"
"171","2393","0","8.7"
"171","2394","0","ABEC 9"
"171","2395","0","140/160m"
"171","2396","0","16.0mm"
"171","2397","0","53-39t"
"171","2398","0","172.5mm"
"171","2399","0","1700x210"
"171","2400","0","1700mm"
"171","2401","0","PEWTER"
"171","2402","0","1m"
"171","2403","0","1 1/8in"
"171","2404","0","45x45x15"
"171","2405","0","45x45"
"171","2406","0","BLU-ORN"
"171","2407","0","RED-BLK"
"171","2408","0","18-25mm"
"171","2409","0","6-11s"
"171","2410","0","42cm"
"171","2411","0","36cm"
"171","2412","0","750 ml"
"171","2413","0","20"""
"171","2414","0","16 x 1.7"
"171","2415","0","26"""
"171","2416","0","29x 2.12"
"171","2417","0","700 x 25"
"171","2418","0","700 x 44"
"171","2419","0","700x25c"
"171","2420","0","29 x 2.0"
"171","2421","0","9.75x36."
"171","2426","0","8-mar"
"171","2593","0","3/8 dro"
"171","2609","0","grn-blk"
"171","2619","0","8.70"
"171","2624","0","33x9"
"171","2629","0","9x1y"
"171","2631","0","20*1.75'"
"171","2634","0","950ml"
"171","2639","0","26x1.75"
"171","2644","0","12mm"
"171","2651","0","'26*1.5"
"171","2654","0","gry"
"171","2659","0","7.0"
"171","2664","0","blk"
"171","2669","0","blk-pnk"
"171","2674","0","51-58 cm"
"171","2681","0","60 gm"
"171","2694","0","front"
"171","2699","0","11*8*9"
"171","2706","0","60g"
"171","2708","0","mtb 26"
"171","2717","0","'700*28c"
"171","2730","0","27.5x2.0"
"171","2734","0","24oz"
"171","2736","0","ml-18.5"
"171","2742","0","ml -18.5"
"171","2746","0","m -17.5"
"171","2755","0","s -15.5"
"171","2757","0","xs -13.5"
"171","2761","0","110mm"
"171","2762","0","xl-21.5"
"171","2763","0","xl- 21.5"
"171","2764","0","28/29"
"171","2765","0","pspeed"
"171","2766","0","left"
"171","2767","0","200ml"
"171","2768","0","5600l"
"171","2769","0","PROTEC"
"171","2770","0","BLACK 1"
"171","2771","0","700x23 c"
"171","2773","0","1 1/2"
"171","2774","0","BLK/BLU"
"171","2775","0","48-52"
"171","2776","0","52-5"
"171","2777","0","205mm"
"171","2778","0","BLACK."
"171","2779","0","1 1/4"""
"171","2780","0","1"""
"171","2781","0","700 x 40"
"171","2783","0","700x28c"
"171","2784","0","sm"
"171","2785","0","ml"
"171","2786","0","7s"
"171","2787","0","6s"
"171","2788","0","M.BLK"
"171","2789","0","11sp"
"171","2790","0","1.1/8"""
"171","2791","0","xs-13.5"
"171","2792","0","m-17.5"
"171","2793","0","28oz"
"171","2804","0","182"
"171","2805","0","33-36"
"171","2806","0","430"
"171","2807","0","MID/NEAR"
"171","2808","0","MT-1C"
"171","2809","0","31.6/400"
"171","2810","0","36 H"
"171","2811","0","25 t"
"171","2812","0","d40"
"171","2813","0","26 x 2.2"
"171","2814","0","26 x 1.7"
"171","2815","0","700 x 23"
"171","2816","0","1000mm"
"171","2817","0","sm-sh51"
"171","2818","0","m590"
"171","2819","0","sm-bb51"
"171","2820","0","50-54CM"
"171","2821","0","""11*8*9"
"171","2822","0","6*HOLLOW"
"171","2823","0","1000ml"
"171","2824","0","10MM 36H"
"171","2825","0","10/14MM"
"171","2826","0","""1-1/8"
"171","2827","0","591ML"
"171","2828","0","34-35"
"171","2829","0","44-45"
"171","2830","0","38-39"
"171","2831","0","M6*75MM"
"171","2832","0","9Y"
"171","2833","0","7Y"
"171","2834","0","5Y"
"171","2835","0","pd-r540s"
"171","2836","0","BR-M432L"
"171","2837","0","80"
"171","2838","0","""26*2.00"
"171","2839","0","9sp,m590"
"171","2840","0","3/8 sp"
"171","2841","0","53MM"
"171","2842","0","3mm"
"171","2843","0","""26*2.10"
"171","2844","0","""3/8"
"171","2845","0","175mm"
"171","2846","0","19mmx8"
"171","2847","0","6x"
"171","2848","0","26X"
"171","2849","0","185MM"
"171","2850","0","M/12"
"171","2851","0","31.6 X 3"
"171","2852","0","INDIA"
"171","2853","0","5603L"
"171","2854","0","5MMX25T"
"171","2855","0","30t"
"171","2856","0","115MM"
"171","2857","0","40X90"
"171","2858","0","10.5mm"
"171","2859","0","22X170MM"
"171","2860","0","20 IN"
"171","2861","0","3/16"""
"171","2862","0","6-17 MM"
"171","2863","0","44 MM"
"171","2865","0","158mm"
"171","2866","0","510h"
"171","2867","0","1/2x1/8"
"171","2868","0","M24 THR"
"171","2869","0","us bb"
"171","2870","0","LONG23MM"
"171","2871","0","9t,14mm"
"171","2872","0","LX"
"171","2873","0","LXL"
"171","2874","0","8.6 ht"
"171","2875","0","115 X 28"
"171","2876","0","1sz"
"171","2877","0","54-59"
"171","2878","0","90mm"
"171","2879","0","1SIZ"
"171","2880","0","7/8/9 sp"
"171","2881","0","M 54-60C"
"171","2882","0","3X9 SPD"
"171","2883","0","100*38MM"
"171","2884","0","sr"
"171","2885","0","l-19.5"
"171","2982","0","3/8x36h"
"171","2992","0","188"
"171","3818","0","10"" X 36"
"171","3819","0","XS/MD"
"171","3820","0","40CM"
"171","3821","0","MANGAF"
"171","3822","0","SAL"
"171","3823","0","205X 5MM"
"171","3825","0","10T"
"171","3827","0","BL-SL-WT"
"171","3828","0","WSD"
"171","3829","0","RD-GY-WT"
"171","3832","0","57-62"
"171","3833","0","61-65"
"171","3834","0","47-52"
"171","3835","0","49-55"
"171","3836","0","45-52"
"171","3837","0","L 58-64"
"171","3838","0","S/M52-60"
"171","3839","0","52 TO 56"
"171","3840","0","55 TO 58"
"171","3841","0","58 TO 61"
"171","3842","0","51 TO 55"
"171","3843","0","55 TO 59"
"171","3844","0","52 TO 57"
"171","3845","0","55 TO 60"
"171","3846","0","56 TO 60"
"171","3847","0","47 TO 52"
"171","3848","0","57 TO 62"
"171","3849","0","CREAM"
"171","3850","0","GEL"
"171","3851","0","MOUSSE"
"171","3852","0","SHOWER"
"171","3854","0","BLK-TEAL"
"171","3855","0","LT BLU"
"171","3856","0","650MM"
"171","3857","0","36H 20"""
"171","3858","0","14X10"
"171","3859","0","170 MM"
"171","3860","0","165 MM"
"171","3861","0","7.25"""
"171","3862","0","12H"
"171","3864","0","KALKOFF"
"171","3865","0","BURNETT"
"171","3866","0",".80 OZ"
"171","3867","0","4346"
"171","3868","0","25.4 mm"
"171","3869","0","COMBO"
"171","3870","0","LG-XL"
"171","3871","0","55-59"
"171","3873","0","54-60"
"171","3874","0","52 CM"
"171","3875","0","56 CM"
"171","3876","0","700X38"
"171","3877","0","20X2.3"
"171","3878","0","127MM"
"171","3879","0","FOOTBALL"
"171","3880","0","BUNNY"
"171","3881","0","V2"
"171","3882","0","l/14"
"171","3883","0","DEVLIN"
"171","3884","0","BEZANSON"
"171","3885","0","DITCHBUR"
"171","3886","0","AT-550"
"171","3887","0","PUR-PNK"
"171","3888","0","RED-ORNG"
"171","3889","0","FUCHSIA"
"171","3890","0","GRN-BLU"
"171","3891","0","FLR-PUR"
"171","3892","0","FUSC-PUR"
"171","3893","0","BAG"
"171","3894","0","BLK-RD"
"171","3895","0","WHT-BK"
"171","3896","0","5MM-S"
"171","3897","0","7MM-M"
"171","3898","0","7MM-L"
"171","3899","0","PRO-TEC"
"171","3900","0","M80"
"171","3901","0","4"""
"171","3902","0","GR-NGAM"
"171","3903","0","GRY-NGAL"
"171","3907","0","1KG"
"171","3908","0","800 GM"
"171","3909","0","333 GM"
"171","3910","0","250GRMS"
"171","3911","0","270 G"
"171","3912","0","250GM"
"171","3913","0","1 KG"
"171","3914","0","200 G"
"171","3915","0","1K"
"171","3916","0","220 GM"
"171","3917","0","250G"
"171","3918","0","125 GM"
"171","3919","0","200G"
"171","3920","0","24 PCS"
"171","3924","0","14 M"
"171","3925","0","12 M"
"171","3926","0","0.7"
"171","3930","0","4.9M"
"171","3931","0","700X25"
"171","3932","0","26X2.2"
"171","3933","0","26X1.50"
"171","3935","0","26X1.6"
"171","3936","0","1.95"
"171","3937","0","1.85"
"171","3938","0","BIG"
"171","3939","0","75ML"
"171","3940","0","BLU-YLW"
"171","3941","0","BRN-GRN"
"171","3942","0","BLK- RED"
"171","3943","0","2010"
"171","3944","0","A"
"171","3946","0","4.5"
"171","3952","0","ASS"
"171","3953","0","FREE"
"171","3954","0","BLK-BAIG"
"171","3960","0","139"
"171","3962","0","134"
"171","3963","0","131"
"171","3964","0","142"
"171","3965","0","140"
"171","3966","0","141"
"171","3969","0","TALL"
"171","3970","0","46M"
"171","3971","0","48M"
"171","3972","0","CITRUS"
"171","3973","0","44T"
"171","3975","0","36X 9T"
"171","3976","0","3 PIECE"
"171","3977","0","14.5MM"
"171","3978","0","195MM"
"171","3979","0","140MM"
"171","3980","0","25-28"
"171","3982","0","22"
"171","3983","0","55MM"
"171","3984","0","57MM"
"171","3985","0","28.5"
"171","3986","0","26.5"
"171","3987","0","25.5"
"171","3989","0","29.5"
"171","3990","0","43565"
"171","3992","0","36647"
"171","3993","0","28-30"
"171","3994","0","13.5"
"171","3995","0","16.5"
"171","3996","0","17"
"171","3998","0","LONG"
"171","4000","0","40MM"
"171","4001","0","75"
"171","4002","0","S 25"
"171","4003","0","430CC"
"171","4004","0","480CC"
"171","4005","0","S 20 OZ"
"171","4006","0","6MM"
"171","4007","0","20 OZ"
"171","4008","0","TT"
"171","4009","0","117X20X8"
"171","4010","0","117X45X9"
"171","4011","0","94X113"
"171","4012","0","85MM"
"171","4013","0","4X12MM"
"171","4014","0","6X10M"
"171","4015","0","125MM"
"171","4016","0","54-62"
"171","4017","0","160 6 B"
"171","4018","0","10S"
"171","4019","0","LG CLIP"
"171","4021","0","W -CLEAT"
"171","4023","0","127 CM"
"171","4024","0","SET OF 4"
"171","4025","0","112CM"
"171","4026","0","7.5/8.25"
"171","4027","0","ASST"
"171","4028","0","RASTA"
"171","4029","0","BLK- WHT"
"171","4030","0","8-PACK"
"171","4031","0","ABEC 5"
"171","4032","0","ABEC 7"
"171","4034","0","3 PK"
"171","4035","0","8 PC"
"171","4036","0","16 PC"
"171","4037","0","13.5-K"
"171","4038","0","12.5-K"
"171","4039","0","11.5-K"
"171","4042","0","33"
"171","4043","0","RED-PURP"
"171","4044","0","O/S"
"171","4045","0","CHA"
"171","4046","0","ACEC 7"
"171","4047","0","ACEC 5"
"171","4048","0","R3"
"171","4049","0","R2"
"171","4050","0","R1"
"171","4054","0","700/ 32H"
"171","4055","0","281X2.0"
